timestamp,std
1658361610000,8.932355918148092e-06
1658361611000,8.956685895026841e-06
1658361612000,8.641101726817299e-06
1658361613000,9.050399009003675e-06
1658361614000,8.110930284660363e-06
1658361615000,6.623328523153644e-06
1658361616000,5.428989123446884e-06
1658361617000,3.713488925526694e-06
1658361618000,2.2907422377933524e-06
1658361619000,2.279621876603092e-06
1658361620000,2.2539592742510815e-06
1658361621000,2.1662226976081326e-06
1658361622000,1.8301587277787769e-06
1658361623000,1.1450871101355307e-06
1658361624000,9.71533607767789e-07
1658361625000,1.3074182806420645e-06
1658361626000,1.331024529293656e-06
1658361627000,1.331024529293656e-06
1658361628000,1.2969575033267139e-06
1658361629000,1.299904108972718e-06
1658361630000,1.1650496642737261e-06
1658361631000,1.224744871392814e-06
1658361632000,1.0897247358862582e-06
1658361633000,3.5935470286193207e-06
1658361634000,5.2114164428364585e-06
1658361635000,5.138633627292652e-06
1658361636000,5.102178184090732e-06
1658361637000,4.744916568444178e-06
1658361638000,4.581072570404003e-06
1658361639000,4.4044805636766665e-06
1658361640000,3.987162015456088e-06
1658361641000,3.616966820360849e-06
1658361642000,3.5697416651005925e-06
1658361643000,2.435430462993e-06
1658361644000,2.5215868019984397e-06
1658361645000,2.211243993775852e-06
1658361646000,2.414622123648266e-06
1658361647000,2.502478771141231e-06
1658361648000,2.575487545046146e-06
1658361649000,2.6337028178134017e-06
1658361650000,3.0636733955443493e-06
1658361651000,3.4237730973631907e-06
1658361652000,3.69097058900377e-06
1658361653000,4.017323597731208e-06
1658361654000,4.391089103635274e-06
1658361655000,9.58638411136136e-06
1658361656000,9.51438910282632e-06
1658361657000,8.492075337548894e-06
1658361658000,7.378077033349631e-06
1658361659000,6.599999999999494e-06
1658361660000,8.073477223771455e-06
1658361661000,7.94221475833662e-06
1658361662000,8.076835842035559e-06
1658361663000,8.102687691814503e-06
1658361664000,8.069719184112019e-06
1658361665000,6.549491074377053e-06
1658361666000,7.204376939848106e-06
1658361667000,7.020921117155193e-06
1658361668000,6.733082503576786e-06
1658361669000,6.974926522907979e-06
1658361670000,5.195190083142906e-06
1658361671000,5.418154795137188e-06
1658361672000,5.367727638394594e-06
1658361673000,5.2257625041696916e-06
1658361674000,5.232112384113186e-06
1658361675000,3.92077147760354e-06
1658361676000,2.164807273766825e-06
1658361677000,2.3076923076946154e-06
1658361678000,3.3040379336031394e-06
1658361679000,3.40725329261316e-06
1658361680000,3.4236054650307955e-06
1658361681000,3.4163558952967896e-06
1658361682000,3.620202666559565e-06
1658361683000,4.9717393966134504e-06
1658361684000,5.89736287580243e-06
1658361685000,6.5962812340455206e-06
